id,name
360,Cellmate
361,Crazy Calls
362,Smitty
363,Larry King
364,LARRY KING V.O.
365,Bald One
366,Police Captain
368,Fat One
369,Kim
371,Estelle
372,MCINTYRE
374,Mrs. Bloominstein
375,Coach Flanagan
376,Mr. Seckofsky
377,Mr. Bouvier
378,Chauffeur
379,PRINCIPAL
380,Homer The Thief
381,Hezron
382,Zohar
383,Moses
384,Cable Guy
385,Comic
386,Woman #1
387,Woman #2
388,Mexican Announcer
389,Representative
390,Cockfight Announcer
391,Davey
392,Goliath
394,Panelist #1
395,Blockbuster Announcer
396,Top Hat Announcer
397,Stock Reporter
398,Boxing Announcer #1
399,Boxing Announcer #2
400,Challenger
401,Referee
402,Kindly Old Gent
403,Stanley
405,Busboy
406,Australian Boy
407,Australian Girl
408,Jeweler
409,Senator Mendoza
410,Board Member
411,Female Commando
412,Theatre Manager
413,Floozy
416,Attendant
418,Policeman
419,Executive #2
420,Head Engineer
421,Engineer #2
422,Engineer #3
423,Female Singer
424,Counter Man
425,Flanders's Thoughts
428,Kelly
430,Father McGrath
431,Salesboy
432,Hula Woman
434,BEA
435,Checker
332,Dr. Julius Hibbert
404,Groundskeeper Willie
426,Troy McClure
347,Lionel Hutz
417,HERB
414,Mona Simpson
335,"Roger Meyers, Jr."
351,Blue-Haired Lawyer
349,Dr. Nick Riviera
373,Artie Ziff
353,Larry
370,Principal Dondelinger
427,Emily
356,Akira
429,Jack
330,Track Announcer
346,Devil
433,Farmer
345,Reporter
331,MURDOCK
437,Tracker
438,Mr. Hazelwood
439,Cabbie
440,KENT
441,MONROE
443,Old Man Daly
444,Old Man McGrath
445,Plato
446,Croupier
447,Recorded Announcer
448,Old Woman In Line
449,Monitor #1
450,Monitor #2
451,Female Newscaster
452,Mr. Schindler
453,Student
454,Registrar
455,Professor Lombardo
456,BART & LISA
457,Artist
458,Delivery Man
459,MR. BURNS' GEOMETRIC SHAPES
460,RINGO
461,WETHERBY
462,MRS. HOOVER
463,Chuck
466,Classmate
467,Terri/sherri
468,Woman In Booth
469,Landlady
470,Kid Reporter
471,Husband Of Marge's Friend
472,Sophisticate #1
473,Sophisticate #2
474,Sophisticate #3
475,Sultan
476,Worm Man
480,Convict
481,Customer
482,DIAMOND JOE
483,Lost And Found Guy
484,Radioactive Man
485,Fallout Boy
486,Convention Director
487,BUDDY
488,Dealer
489,Young Patty
490,Young Selma
492,Older Patty
493,Older Selma
494,Adult Narrator
495,Teller
497,Asa
498,Soap Actress
499,Soap Actor
