id,normalized_name
382,dormitory cabin
383,catfish lake
384,simpson cabin
385,school bus garage
386,bait shop
387,springfield convention center
388,krusty burger
389,bouvier house
390,quik-e-mart
391,springfield bank
392,beauty parlor
393,mrs glick house
394,world world i battlefield
395,glick house
396,the android dungeon baseball card shop
397,hill near nuclear power plant
398,bloodmobile
399,back of bloodmobile
400,burns private fronton
401,corner mailbox
402,post office
403,smithers office
404,burns study
405,plunderer pete
406,new bedlam rest home for the emotionally interesting
407,kearny house
408,krusty house
409,springfield jail
410,evergreen terrace
411,bank
412,springfield national forest
413,veterans of popular wars hall
414,hall
415,legion
416,airplane
417,cockpit
418,cabin
419,airport
420,hotel
421,elevator
422,white house
423,bureau of engraving and printing
424,natl air and space museum
425,washington monument
426,capital
427,washington dc
428,wb howe memorial
429,lincoln memorial
430,jefferson memorial
431,capital building
432,kennedy center
433,senator office
434,kennedy center ballroom
435,flanders yard
436,store
437,karate school
438,leftorium
439,bus stop
440,road on the way to school
441,bart classroom
442,springfield elementary school bus stop
443,the ah fudge chocolate factory in shelbyville
444,chocolate factory orientation room
445,ah fudge chocolate factory
446,legitimate businessman social club
447,club
448,pizza delivery truck
449,downtown springfield
450,deathhouse
451,springfield prison
452,death chamber
453,springfield county jail
454,skinner garage
455,skinner home
456,courthouse steps
457,homer workstation
458,stop n go gas station
459,random shots of springfield nuclear power plant
460,shelbyville nuclear power plant
461,basketball court
462,krusty the clown show
463,backstage
464,backstage at the krusty show
465,miss pennycandy office
466,pennycandy office
467,krusty dressing room
468,lower east side of springfield
469,yeshiva classroom
470,krustofsky home
471,grossingers
472,downtown street
473,bus station
474,rabbi krustofsky bedroom
475,rev lovejoy office
476,temple beth springfield
477,rabbi office
478,yiddle shop
479,temple
480,krusty office
481,izzy deli
482,temple hallway
483,steambath
484,gammill home
485,krusty set
486,marrakesh
487,bazaar area
488,camel stall
489,marrakesh airport
490,simpsons store
491,record store
492,spaceship
493,springfield town square
494,aerial view of springfield
495,main street
496,marvin monroe office
497,secret passageway
498,springfield elementary auditorium
499,king toot music store
500,phineas q butterfat 5600 flavors ice cream parlor
501,pet shop
502,pony ranch
503,grateful gelding stables
504,employee credit union
505,vhs village
506,fabrizio salon
507,national fatherhood institute
508,dr hibbert waiting room
509,soapbox derby track
510,wooded area
511,flaming moe
512,tipsy mcstagger research lab
513,springfield bus terminal
514,the aristocrat
515,moe bedroom
516,walnut street
517,burns private bathroom
518,meeting room
519,the land of chocolate
520,fun center
521,free game castle
522,grampa house
523,jewelry store
524,wedding chapel
525,chapel
526,darkened room
527,olde springfield towne
528,ye old candlemaker shop
529,suburban home
530,pitiless pup attack dog school
531,gulp n blow
532,warehouse
533,barber shop
534,dance studio
535,wall e weasel
536,springfield elementary school back field
537,well
538,wee monsieur
539,security station
540,springfield public library
541,the gilded truffle restaurant
542,south pacific island
543,living room in france
544,mt springfield
545,nick bowling shop
546,the other nicks
547,springfield memorial bridge
548,marge station wagon
549,traffic copter
550,smoke filled room
551,press conference
552,patty and selma car
553,rancho relaxo
554,patty and selma bedroom
555,hair salon
556,patty and selma apartment building
557,marge train
558,springfield elementary - bart classroom
559,edna apartment
560,lovejoy home
561,theater
562,springfield towers
1232,london
563,millionaire club
564,baseball card show
565,woods
566,southern mansion
567,night club
568,ball field
569,springfield suburbs
570,springfield city jail
571,springfield mystery spot
572,softball diamond
573,mrs krabappel classroom
574,miss hoover classroom
575,iowa non-international airport
576,national testing center
577,springfield elementary school psychologist office
578,dream cloud
579,lil ludwig music school
580,winfield residence
581,squad car
582,who to know motel
583,police car
584,fleeing car
585,warehouse district
586,outdoor parking lot
587,alley
588,teachers lounge
589,detention room
590,newsroom
591,the krusty the clown show
592,springfield animal hospital
593,animal hospital
594,springfield barber college
595,dog pound
596,springfield googolplex theatres
597,movie theatre 1
598,movie theatre 6
599,country bar
600,the beer -n- brawl
601,hospital operating room
602,trailer park
603,kudd radio station
604,the corpulent cowboy
605,recording studio
606,lurleen trailer
607,lurleen dressing room
608,awards show set
609,prison gate
610,sideshow mel apartment
611,reception hall
612,shelbyville falls hotel
613,shelbyville hotel suite
614,springfield coliseum
615,coliseum
616,concert arena
617,arena
618,ext school bus stop
619,tire yard
620,spinal tap tour bus
621,spinal tour bus
622,department of motor vehicles
623,serpentine course
624,springfield elementary school parking lot
625,simpson garage
626,testing course
627,pool
628,martin room
629,milhouse bedroom
630,st jerome catholic school
631,medical testing area
632,testing area
633,hobo jungle
634,herb estate
635,powell motors showroom
636,springfield civic center
637,train yard
638,train
639,furniture store
640,baby expo
641,kremlin
642,simpson
643,springfield elementary school bell tower
644,front hallway
645,kamp krusty
646,club house
647,camp mess hall
648,mr black cabin
649,bunk house
650,center court wimbledon
651,nature trail
652,arts crafts center
653,audience
654,fat kids compound
655,springfield community center
1233,england
656,rehearsal room
657,day care center
658,community center
659,alleyway
660,womb
661,front yard
